	12500	12500	
(1, 18, 18)	2	0	-2	
(25, 7, 5)	1	0	-1	
(3, 23, 30)	21	8	-13	
(17, 3, 30, 22)	0	3	3	
(4, 30, 14, 4)	3	2	-1	
(7, 8, 30, 12)	0	3	3	
(7, 21, 0)	1	2	1	
(30, 16, 30, 21)	22	21	-1	
(22, 30, 0, 24)	1	1	0	
(30, 8, 0, 2)	0	1	1	
(5, 21, 14, 30)	1	0	-1	
(6, 30, 19, 18)	1	0	-1	
(30, 8, 30, 3)	212	137	-75	
(18, 1, 21, 17)	1	1	0	
(19, 30, 21, 3)	2	5	3	
(7, 7, 30, 19)	0	1	1	
(25, 3, 4, 30)	2	1	-1	
(12, 30, 8, 4)	8	4	-4	
(30, 21, 18, 12)	1	0	-1	
(27, 21, 30, 12)	6	7	1	
(13, 12, 30)	8	4	-4	
(8, 30, 21, 11)	0	2	2	
(30, 3, 17, 0)	22	58	36	
(30, 11, 21, 18)	1	2	1	
(30, 17, 0, 2)	23	35	12	
(11, 9)	1	0	-1	
(4, 17, 7, 4)	2	2	0	
(30, 12, 15, 30)	24	11	-13	
(17, 2, 12)	0	1	1	
(17, 0, 0, 4)	0	1	1	
(30, 8, 17)	133	64	-69	
(17, 30, 3, 15)	0	1	1	
(30, 3, 22, 30)	20	37	17	
(30, 21, 15)	35	25	-10	
(3, 0, 3, 21)	0	1	1	
(5, 11, 30)	2	3	1	
(4, 30, 12, 7)	10	7	-3	
(8, 8, 21, 21)	1	1	0	
(24, 12, 18)	1	1	0	
(24, 30, 25, 1)	1	0	-1	
(5, 30, 3, 2)	1	0	-1	
(6, 19, 6)	0	1	1	
(25, 3, 18, 30)	0	1	1	
(30, 8, 28, 30)	1	0	-1	
(5, 30, 14)	3	7	4	
(14, 18, 30, 7)	0	1	1	
(30, 20, 30, 16)	1	1	0	
(9, 3, 21)	4	9	5	
(9, 30, 3, 3)	0	2	2	
(26, 30, 2, 17)	1	0	-1	
(30, 17, 18, 18)	5	2	-3	
(4, 30, 7, 7)	4	10	6	
(17, 30, 4, 24)	22	16	-6	
(27, 30, 8)	35	20	-15	
(18, 18, 30, 13)	0	1	1	
(30, 12, 1, 30)	118	83	-35	
(9, 30, 15, 30)	5	2	-3	
(26, 17, 0)	0	1	1	
(3, 14, 21, 12)	1	0	-1	
(30, 21, 12, 10)	1	2	1	
(4, 17, 30, 16)	0	1	1	
(8, 17, 30, 19)	1	1	0	
(30, 4, 17, 21)	4	9	5	
(30, 26, 2, 17)	0	1	1	
(30, 17, 30, 0)	659	1124	465	
(14, 30, 14, 18)	1	0	-1	
(30, 3, 4, 30)	75	45	-30	
(12, 30, 17, 19)	0	3	3	
(0, 17, 19)	1	0	-1	
(22, 30, 17, 25)	1	1	0	
(21, 4, 30, 6)	1	3	2	
(30, 21, 21, 0)	1	5	4	
(17, 17, 7, 6)	1	0	-1	
(4, 30, 2, 10)	1	0	-1	
(8, 0, 19, 0)	0	1	1	
(5, 21, 30, 9)	1	2	1	
(30, 8, 14, 30)	1	0	-1	
(10, 30, 23)	13	12	-1	
(0, 30, 15, 21)	5	0	-5	
(4, 21, 17, 12)	2	0	-2	
(12, 1, 17, 30)	1	0	-1	
(1, 30, 8, 23)	1	0	-1	
(19, 30, 17, 5)	0	2	2	
(13, 21, 0, 30)	0	1	1	
(27, 30, 22, 30)	24	49	25	
(14, 12, 30, 1)	0	1	1	
(30, 21, 30, 10)	471	488	17	
(17, 17, 30, 16)	1	0	-1	
(30, 9, 30, 22)	7	20	13	
(18, 11, 30, 15)	0	1	1	
(4, 30, 5, 4)	3	1	-2	
(21, 3)	378	314	-64	
(30, 13, 30, 0)	20	29	9	
(3, 0, 1)	0	1	1	
(3, 0, 30, 15)	1	1	0	
(4, 4)	462	297	-165	
(4, 30, 9, 17)	2	2	0	
(30, 18, 0, 30)	463	849	386	
(30, 8, 8)	160	121	-39	
(7, 17, 30, 9)	0	1	1	
(14, 30, 8, 21)	1	0	-1	
(0, 27, 30, 2)	0	2	2	
(3, 7, 30, 24)	0	2	2	
(30, 7, 4, 3)	1	0	-1	
(30, 21, 20)	6	5	-1	
(5, 11, 21)	0	1	1	
(19, 4, 2)	0	1	1	
(13, 30, 21, 21)	2	3	1	
(9, 16)	0	1	1	
(19, 30, 3, 17)	14	16	2	
(30, 17, 1, 17)	2	0	-2	
(17, 30, 24, 16)	0	1	1	
(24, 30, 21, 3)	0	1	1	
(9, 30, 19, 30)	6	8	2	
(27, 30, 24, 30)	6	12	6	
(5, 30, 7)	118	88	-30	
(7, 17, 1, 30)	2	0	-2	
(12, 30, 18, 1)	14	2	-12	
(14, 12, 26)	1	0	-1	
(6, 9, 30, 21)	1	0	-1	
(27, 21, 17, 12)	1	0	-1	
(30, 17, 10, 5)	0	1	1	
(17, 21, 30, 19)	5	2	-3	
(12, 9, 19, 30)	1	0	-1	
(17, 14, 21, 30)	0	1	1	
(27, 16)	2	0	-2	
(5, 30, 0, 24)	0	2	2	
(19, 2, 30, 2)	5	8	3	
(4, 21, 12, 0)	1	0	-1	
(24, 30, 24, 17)	0	2	2	
(25, 3, 17, 7)	0	1	1	
(30, 12, 21, 18)	0	2	2	
(30, 2, 30, 20)	10	0	-10	
(30, 21, 17, 2)	1	3	2	
(4, 30, 6, 8)	0	1	1	
(27, 30, 10, 30)	13	10	-3	
(7, 30, 19, 21)	9	8	-1	
(30, 12, 0, 21)	24	17	-7	
(17, 30, 26, 17)	2	1	-1	
(0, 12, 30, 18)	0	1	1	
(14, 30, 1, 22)	1	0	-1	
(14, 4, 0)	0	1	1	
(4, 30, 21, 25)	7	6	-1	
(13, 30, 5, 17)	0	1	1	
(22, 0, 19, 30)	0	1	1	
(27, 3, 25, 30)	0	1	1	
(3, 19, 21, 30)	1	2	1	
(10, 3, 17, 7)	0	1	1	
(0, 22, 30, 26)	0	2	2	
(30, 13, 26, 30)	0	1	1	
(2, 7, 30, 17)	1	0	-1	
(15, 30, 18, 30)	27	29	2	
(30, 2, 12, 0)	2	2	0	
(21, 21, 30, 1)	46	21	-25	
(30, 8, 3)	28	13	-15	
(27, 30, 27, 22)	1	0	-1	
(18, 25, 30, 25)	0	1	1	
(10, 21, 11, 30)	1	0	-1	
(30, 3, 30, 10)	387	260	-127	
(17, 15, 30, 12)	1	1	0	
(19, 6, 6, 30)	0	1	1	
(3, 18, 30, 17)	12	9	-3	
(4, 30, 4, 27)	2	4	2	
(3, 10, 30, 7)	2	0	-2	
(12, 2, 30)	18	8	-10	
(21, 21, 1, 21)	1	0	-1	
(18, 18, 30, 10)	1	0	-1	
(30, 4, 30, 5)	256	278	22	
(5, 30, 16)	8	9	1	
(4, 7, 30, 17)	4	2	-2	
(30, 13, 12, 30)	4	3	-1	
(0, 21, 30, 2)	14	11	-3	
(12, 30, 22, 7)	1	0	-1	
(1, 4, 4, 21)	6	0	-6	
(23, 17, 30, 1)	1	1	0	
(24, 21, 30, 8)	1	0	-1	
(27, 17, 30, 2)	1	0	-1	
(30, 4, 8, 30)	3	2	-1	
(0, 2, 30, 15)	1	3	2	
(30, 0, 25)	2	26	24	
(30, 0, 27, 30)	23	40	17	
(17, 30, 25, 3)	37	36	-1	
(27, 30, 25, 21)	0	2	2	
(30, 4, 21, 6)	2	1	-1	
(22, 30, 25, 21)	1	2	1	
(18, 3, 9)	0	1	1	
(30, 7, 2, 2)	1	3	2	
(17, 6, 17)	2	0	-2	
(4, 12, 21, 8)	1	0	-1	
(24, 30, 3, 17)	5	8	3	
(6, 7, 30, 17)	0	1	1	
(11, 10, 21, 30)	1	1	0	
(30, 7, 30, 23)	14	23	9	
(25, 15)	6	3	-3	
(3, 22, 30, 18)	1	2	1	
(17, 17, 7)	4	2	-2	
(19, 12, 30, 2)	1	0	-1	
(17, 30, 18, 8)	2	6	4	
(13, 8)	1	0	-1	
(1, 30, 12, 4)	1	0	-1	
(3, 17, 0, 6)	1	0	-1	
(7, 10, 30, 17)	2	2	0	
(28, 30, 21, 21)	4	1	-3	
(23, 5, 30, 18)	0	1	1	
(19, 19, 30, 5)	1	0	-1	
(4, 21, 30, 22)	9	13	4	
(24, 30, 6, 4)	1	0	-1	
(21, 14, 12, 18)	0	1	1	
(4, 30, 1, 21)	87	8	-79	
(21, 15, 17, 30)	1	3	2	
(7, 7, 17, 30)	0	1	1	
(21, 3, 7)	1	0	-1	
(3, 21, 5, 12)	0	1	1	
(8, 10, 30, 12)	1	0	-1	
(12, 3, 21, 22)	1	0	-1	
(7, 30, 21, 14)	0	4	4	
(30, 8, 4, 17)	12	6	-6	
(17, 26, 30, 21)	1	3	2	
(21, 3, 30, 11)	1	5	4	
(4, 11)	21	12	-9	
(25, 3, 30, 12)	7	9	2	
(30, 8, 8, 12)	2	0	-2	
(30, 12, 6, 21)	0	2	2	
(2, 30, 22, 21)	5	2	-3	
(19, 30, 7, 8)	2	0	-2	
(6, 17, 30, 18)	0	1	1	
(4, 21, 15, 30)	2	0	-2	
(17, 17)	453	336	-117	
(30, 17, 30, 28)	75	124	49	
(3, 21, 12, 14)	1	0	-1	
(4, 30, 19, 1)	2	0	-2	
(30, 9, 30, 2)	8	13	5	
(17, 5, 30, 8)	4	2	-2	
(3, 28, 30, 21)	1	0	-1	
(24, 30, 4, 7)	0	1	1	
(4, 30, 7, 26)	0	1	1	
(27, 30, 9, 0)	1	0	-1	
(19, 30, 0, 6)	1	0	-1	
(21, 21, 0, 2)	1	0	-1	
(23, 30, 17, 12)	1	1	0	
(4, 17, 30, 11)	2	4	2	
(7, 7, 3, 30)	2	0	-2	
(7, 21, 30, 7)	10	16	6	
(30, 4, 17, 8)	2	0	-2	
(0, 7, 30, 28)	0	1	1	
(2, 30, 17, 2)	0	1	1	
(4, 9, 30, 21)	1	0	-1	
(5, 30, 12, 1)	1	0	-1	
(4, 0, 21)	0	2	2	
(27, 3, 30, 12)	6	3	-3	
(30, 7, 14, 4)	1	0	-1	
(0, 2, 21, 17)	1	1	0	
(30, 21, 25, 6)	1	0	-1	
(1, 30, 3, 16)	2	0	-2	
(1, 12, 30, 22)	1	0	-1	
(7, 22, 30, 1)	1	0	-1	
(12, 17, 4, 30)	2	0	-2	
(21, 9, 30, 8)	1	0	-1	
(7, 30, 27, 17)	0	1	1	
(4, 21, 7)	2	2	0	
(18, 30, 6, 24)	0	1	1	
(17, 27, 22, 30)	1	0	-1	
(10, 30, 15, 30)	13	7	-6	
(17, 17, 30)	341	302	-39	
(2, 3, 30, 3)	0	1	1	
(7, 2, 21)	2	0	-2	
(4, 21, 17, 17)	0	1	1	
(4, 30, 17, 2)	5	3	-2	
(6, 21, 30, 15)	0	1	1	
(10, 30, 17, 17)	1	2	1	
(13, 17, 30, 24)	1	2	1	
(30, 7, 3, 17)	7	8	1	
(7, 17, 7)	2	4	2	
(30, 21, 30, 17)	5407	5776	369	
(8, 7, 8)	1	3	2	
(24, 30, 2, 2)	0	1	1	
(30, 4, 3, 12)	0	1	1	
(30, 22, 22, 17)	3	2	-1	
(17, 2, 2)	0	2	2	
(3, 0, 30, 18)	1	0	-1	
(22, 30, 11, 11)	0	1	1	
(10, 30, 10, 3)	0	1	1	
(10, 6, 30, 17)	0	1	1	
(30, 0, 17, 2)	1	0	-1	
(30, 18, 0, 3)	27	136	109	
(13, 30, 7, 4)	2	0	-2	
(23, 30, 18)	26	35	9	
(3, 21, 21, 25)	1	0	-1	
(30, 17, 25, 0)	1	0	-1	
(0, 27, 30, 25)	1	3	2	
(17, 17, 17, 1)	5	1	-4	
(14, 17)	5	17	12	
(11, 4, 30, 8)	1	0	-1	
(18, 30, 8, 7)	1	0	-1	
(21, 7, 14)	1	0	-1	
(25, 5, 21, 30)	0	1	1	
(30, 18, 7, 19)	4	11	7	
(19, 1, 30)	6	0	-6	
(5, 30, 7, 8)	1	1	0	
(22, 30, 14, 30)	3	15	12	
(24, 30, 21, 30)	153	154	1	
(14, 30, 7, 4)	0	1	1	
(2, 18, 0)	0	1	1	
(13, 30, 0, 19)	0	1	1	
(21, 14, 30, 4)	3	3	0	
(11, 30, 10)	33	29	-4	
(1, 2, 2)	1	0	-1	
(12, 6, 30, 17)	0	2	2	
(30, 0, 11)	13	21	8	
(19, 17, 1)	1	0	-1	
(28, 30, 27)	3	6	3	
(21, 9, 30, 3)	0	2	2	
(2, 30, 21, 0)	4	17	13	
(14, 22, 30, 3)	1	0	-1	
(14, 30, 10, 17)	1	0	-1	
(17, 6, 3)	1	4	3	
(26, 17, 30, 25)	0	1	1	
(4, 30, 18, 18)	20	8	-12	
(21, 28, 17)	0	1	1	
(18, 30, 10, 10)	1	0	-1	
(24, 30, 7, 30)	20	24	4	
(30, 28, 21)	18	23	5	
(30, 24, 10, 21)	1	0	-1	
(6, 11)	2	3	1	
(4, 7, 4, 30)	1	5	4	
(27, 3, 21, 12)	1	0	-1	
(6, 5, 18)	0	1	1	
(15, 30, 25, 17)	2	1	-1	
(20, 17, 30, 3)	0	1	1	
(25, 30, 12, 21)	6	4	-2	
(30, 27, 1, 4)	2	0	-2	
(16, 30, 17, 0)	1	0	-1	
(7, 17, 30)	105	136	31	
(23, 30, 7, 22)	1	0	-1	
(21, 14, 4, 30)	1	0	-1	
(12, 7, 30, 13)	1	0	-1	
(30, 0, 21, 12)	16	20	4	
(23, 30, 27)	11	12	1	
(4, 27, 3, 30)	1	0	-1	
(22, 30, 3, 18)	1	3	2	
(12, 30, 27, 17)	4	1	-3	
(25, 30, 17, 0)	12	21	9	
(10, 3, 30, 18)	1	0	-1	
(21, 19, 30, 28)	2	0	-2	
(22, 21, 30, 7)	6	5	-1	
(21, 7, 5)	1	0	-1	
(30, 25, 7, 5)	1	0	-1	
(0, 20, 17)	0	1	1	
(10, 12, 30, 21)	0	3	3	
(13, 30, 4, 17)	3	2	-1	
(3, 25, 30, 15)	0	2	2	
(10, 3, 30, 21)	2	2	0	
(0, 1, 3)	11	0	-11	
(18, 30, 19, 17)	4	4	0	
(23, 12, 18, 30)	1	0	-1	
(20, 20, 16)	1	0	-1	
(30, 18, 18, 21)	4	1	-3	
(28, 30, 2)	6	14	8	
(1, 3, 17, 5)	0	1	1	
(18, 30, 7, 14)	0	1	1	
(21, 21, 8, 30)	1	0	-1	
(4, 22, 30, 19)	0	2	2	
(19, 12, 21, 30)	2	0	-2	
(30, 3, 12, 1)	16	1	-15	
(21, 2, 21, 30)	2	0	-2	
(25, 30, 19, 3)	1	0	-1	
(5, 30, 8, 30)	43	33	-10	
(11, 30, 7, 17)	1	1	0	
(15, 30, 5, 25)	0	1	1	
(21, 18, 18, 18)	0	3	3	
(30, 5, 21, 14)	1	0	-1	
(14, 3, 30, 10)	1	0	-1	
(20, 30, 23, 7)	1	0	-1	
(4, 21, 25)	0	4	4	
(30, 15, 12)	8	5	-3	
(23, 30, 2, 2)	1	0	-1	
(7, 10, 21, 30)	2	0	-2	
(3, 16, 17)	1	0	-1	
(30, 4, 0, 2)	1	2	1	
(13, 30, 18, 13)	2	2	0	
(2, 30, 0, 8)	1	0	-1	
(25, 0, 4)	4	3	-1	
(18, 30, 2, 19)	0	4	4	
(10, 21, 30, 19)	4	7	3	
(21, 15, 18)	0	2	2	
(14, 4, 30, 5)	0	1	1	
(30, 24, 24)	8	13	5	
(4, 11, 27)	1	0	-1	
(30, 5, 30, 12)	173	195	22	
(17, 1, 30, 10)	4	0	-4	
(7, 17, 21)	2	0	-2	
(4, 3, 30, 7)	1	1	0	
(11, 10, 30, 19)	2	0	-2	
(30, 22, 30, 13)	2	4	2	
(23, 16, 30, 0)	0	1	1	
(5, 30, 18, 17)	1	0	-1	
(4, 16)	17	8	-9	
(30, 14, 30, 7)	17	16	-1	
(17, 30, 2, 25)	0	3	3	
(30, 18, 7, 7)	0	1	1	
(0, 3, 30, 6)	3	11	8	
(2, 30, 27, 3)	2	4	2	
(23, 30, 0)	18	55	37	
(17, 18, 30, 18)	2	7	5	
(5, 30, 6, 30)	44	41	-3	
(19, 21, 30, 24)	1	0	-1	
(18, 28, 30)	4	16	12	
(3, 21, 9, 30)	0	2	2	
(4, 18, 30, 22)	0	2	2	
(18, 28, 3, 30)	0	1	1	
(20, 30, 21, 4)	0	1	1	
(30, 17, 21, 27)	0	1	1	
(18, 30, 16, 3)	1	0	-1	
(30, 0, 0, 4)	3	1	-2	
(30, 22, 17, 2)	1	0	-1	
(2, 30, 2, 27)	0	1	1	
(25, 4, 17)	1	2	1	
(1, 3, 30, 19)	3	0	-3	
(18, 30, 4, 22)	3	1	-2	
(22, 16)	11	5	-6	
(14, 30, 24)	4	2	-2	
(6, 30, 7)	45	73	28	
(1, 30, 28, 21)	1	0	-1	
(7, 19, 17, 30)	0	3	3	
(3, 17, 2, 30)	6	3	-3	
(15, 30, 0, 19)	0	1	1	
(21, 25, 30, 24)	0	1	1	
(28, 30, 13)	1	3	2	
(16, 30, 16, 4)	2	0	-2	
(5, 30, 20, 30)	1	4	3	
(3, 18, 8, 30)	0	1	1	
(10, 30, 4, 10)	1	0	-1	
(30, 8, 3, 21)	3	0	-3	
(30, 26, 30, 16)	0	3	3	
(19, 18, 30, 12)	2	1	-1	
(7, 10, 9, 30)	0	1	1	
(26, 20, 30, 7)	1	0	-1	
(10, 15)	5	0	-5	
(28, 30, 3, 21)	8	6	-2	
(2, 30, 17, 25)	1	4	3	
(4, 22, 22, 4)	1	1	0	
(25, 30, 18, 0)	5	14	9	
(30, 5, 17, 8)	3	1	-2	
(0, 24, 0, 4)	1	0	-1	
(18, 6, 30, 21)	8	15	7	
(18, 30, 18, 6)	1	5	4	
(30, 15, 5)	1	0	-1	
(30, 0, 6, 3)	1	3	2	
(4, 8, 30, 12)	1	0	-1	
(2, 30, 4, 14)	0	1	1	
(5, 30, 17, 3)	4	1	-3	
(24, 18, 17, 30)	1	0	-1	
(21, 15, 25)	0	1	1	
(30, 24, 19)	1	1	0	
(4, 24, 30, 19)	1	2	1	
(3, 17, 16, 30)	0	1	1	
(25, 0, 9, 30)	0	1	1	
(21, 13, 30, 13)	0	1	1	
(23, 30, 3, 21)	14	16	2	
(30, 22, 22, 10)	1	0	-1	
(23, 30, 9)	1	10	9	
(6, 3, 2, 30)	1	0	-1	
(30, 7, 19)	100	94	-6	
(25, 25, 6)	0	1	1	
(30, 1, 17, 2)	1	0	-1	
(8, 21, 30, 23)	0	1	1	
(14, 19, 4)	0	1	1	
(11, 4, 30, 19)	2	0	-2	
(30, 28, 30, 9)	1	3	2	
(30, 0, 3, 30)	345	777	432	
(21, 13, 5, 30)	1	1	0	
(24, 7, 30)	0	3	3	
(12, 18, 4, 21)	1	0	-1	
(23, 30, 2)	19	18	-1	
(14, 30, 23)	6	2	-4	
(20, 21, 30, 1)	4	0	-4	
(2, 12, 15, 30)	1	0	-1	
(6, 30, 14)	3	5	2	
(5, 30, 7, 21)	2	2	0	
(28, 30, 11, 10)	1	0	-1	
(30, 27, 27, 3)	13	30	17	
(6, 6, 30, 11)	0	1	1	
(18, 30, 27, 21)	1	3	2	
(13, 4, 30, 3)	1	0	-1	
(10, 30, 20, 21)	1	0	-1	
(2, 30, 13, 17)	4	1	-3	
(3, 30, 13, 5)	2	0	-2	
(30, 0, 3, 9)	0	4	4	
(21, 1, 2, 30)	2	0	-2	
(16, 0, 30, 25)	0	1	1	
(25, 30, 11, 7)	1	0	-1	
(2, 17, 30, 2)	1	2	1	
(3, 30, 6, 17)	3	3	0	
(22, 17, 30, 1)	3	0	-3	
(6, 30, 3, 21)	15	18	3	
(18, 6, 21)	1	0	-1	
(30, 10, 17, 19)	1	0	-1	
(2, 30, 8, 4)	2	0	-2	
(5, 30, 21, 1)	3	0	-3	
(12, 0, 21, 30)	22	22	0	
(6, 10, 30, 18)	0	1	1	
(30, 0, 30, 20)	2	12	10	
(8, 28)	1	1	0	
(4, 4, 12, 30)	3	0	-3	
(3, 21, 30, 21)	507	485	-22	
(27, 3, 2)	1	0	-1	
(2, 17, 25)	1	0	-1	
(7, 18, 10, 30)	1	0	-1	
(12, 17, 25, 3)	1	0	-1	
(13, 17, 25)	4	3	-1	
(12, 21, 11, 21)	1	0	-1	
(12, 18, 1)	9	2	-7	
(12, 30, 3, 2)	1	1	0	
(12, 18, 1, 21)	2	0	-2	
(21, 30, 17, 27)	2	5	3	
(30, 7, 4)	389	379	-10	
(12, 23)	5	4	-1	
(0, 30, 17, 23)	0	2	2	
(30, 1, 21, 4)	1	0	-1	
(5, 25, 30, 21)	6	6	0	
(10, 30, 17, 3)	4	1	-3	
(30, 16, 16)	2	0	-2	
(2, 30, 10, 7)	0	1	1	
(21, 19, 30, 1)	1	0	-1	
(30, 27, 0, 4)	0	3	3	
(14, 30, 14)	4	2	-2	
(6, 1, 30, 12)	1	0	-1	
(25, 30, 2, 4)	0	1	1	
(30, 1, 30, 6)	43	12	-31	
(17, 13, 30, 28)	0	1	1	
(30, 18, 30, 19)	144	209	65	
(3, 12, 30, 11)	1	2	1	
(24, 30, 25, 17)	1	0	-1	
(8, 21, 12, 30)	7	3	-4	
(3, 26, 30, 0)	1	3	2	
(21, 12, 8)	0	1	1	
(0, 15, 30, 8)	0	1	1	
(3, 27, 30, 22)	3	7	4	
(25, 17, 7)	1	3	2	
(4, 1, 30, 17)	4	0	-4	
(12, 4, 24, 17)	1	0	-1	
(16, 4, 12, 0)	1	0	-1	
(8, 30, 6, 30)	10	22	12	
(25, 30, 7, 25)	1	0	-1	
(0, 4, 30, 27)	4	2	-2	
(10, 0, 2)	0	1	1	
(4, 14, 30, 22)	0	1	1	
(5, 17, 0, 30)	2	2	0	
(2, 30, 12, 2)	2	0	-2	
(30, 18, 13, 17)	30	47	17	
(15, 4, 12)	0	1	1	
(17, 30, 0)	916	1452	536	
(5, 3, 30, 18)	0	1	1	
(17, 25, 30, 9)	0	1	1	
(6, 5, 30, 17)	6	18	12	
(11, 30, 0, 0)	0	1	1	
(12, 17, 21, 1)	2	2	0	
(3, 30, 7, 2)	2	2	0	
(0, 23, 30)	15	8	-7	
(25, 21, 30, 23)	3	1	-2	
(6, 0, 21, 30)	1	0	-1	
(30, 22, 30, 22)	147	322	175	
(2, 30, 7, 9)	0	2	2	
(7, 27, 3, 27)	0	1	1	
(30, 14, 30, 24)	4	1	-3	
(5, 17, 18, 30)	1	2	1	
(2, 30, 27, 30)	42	55	13	
(12, 7, 7, 21)	0	2	2	
(12, 17, 21, 7)	0	1	1	
(3, 30, 0, 12)	2	3	1	
(11, 7)	7	2	-5	
(10, 30, 21, 1)	3	1	-2	
(11, 30, 5, 21)	0	1	1	
(17, 0, 17, 20)	0	1	1	
(30, 16, 27)	2	0	-2	
(0, 24, 30, 22)	0	1	1	
(7, 3, 30, 14)	0	1	1	
(11, 3, 30, 11)	0	1	1	
(17, 1, 4, 24)	0	1	1	
(27, 11, 3)	0	2	2	
(14, 30, 5)	7	10	3	
(21, 6, 30, 8)	1	0	-1	
(6, 30, 28)	5	13	8	
(24, 21)	104	82	-22	
(30, 5, 0, 3)	0	1	1	
(8, 12, 30, 4)	4	0	-4	
(3, 21, 4)	3	0	-3	
(30, 14, 0, 17)	0	2	2	
(30, 1, 22, 17)	3	1	-2	
(17, 24, 30, 21)	4	3	-1	
(3, 30, 5, 1)	1	0	-1	
(2, 27, 30, 21)	0	1	1	
(21, 1, 30, 7)	3	0	-3	
(21, 12, 1)	22	11	-11	
(17, 0, 30, 11)	1	2	1	
(2, 30, 9, 30)	18	25	7	
(2, 12, 30, 12)	2	1	-1	
(18, 13, 30, 21)	14	6	-8	
(21, 12, 26, 30)	1	1	0	
(7, 30, 3, 26)	1	2	1	
(7, 24, 30, 4)	1	1	0	
(30, 15, 30, 14)	4	4	0	
(28, 24)	4	2	-2	
(30, 9, 3, 27)	0	1	1	
(18, 6, 3)	0	1	1	
(17, 1, 30, 15)	2	1	-1	
(30, 24, 30, 11)	6	5	-1	
(17, 3, 27)	0	1	1	
(27, 22, 30, 5)	1	0	-1	
(0, 25, 30, 4)	1	0	-1	
(21, 30, 12, 18)	98	80	-18	
(4, 11, 30, 21)	2	0	-2	
(15, 4, 21)	2	1	-1	
(25, 30, 16)	26	19	-7	
(17, 30, 9)	108	191	83	
(0, 4, 17, 17)	1	0	-1	
(30, 27, 21, 10)	1	0	-1	
(16, 30, 0, 3)	0	2	2	
(6, 5, 7)	0	1	1	
(21, 21, 25, 30)	2	4	2	
(22, 9, 3)	0	1	1	
(1, 2, 30, 18)	3	1	-2	
(4, 16, 2, 30)	1	0	-1	
(2, 17, 7)	1	1	0	
(25, 0, 9, 3)	0	1	1	
(3, 30, 3, 0)	1	0	-1	
(16, 11)	0	2	2	
(2, 2, 17)	2	4	2	
(6, 11, 30, 27)	0	1	1	
(9, 17, 30, 17)	1	3	2	
(2, 21, 30, 4)	30	23	-7	
(5, 30, 22, 21)	3	3	0	
(30, 27, 30, 17)	170	215	45	
(26, 21, 30, 14)	1	1	0	
(12, 27, 27)	0	1	1	
(0, 30, 21, 24)	2	0	-2	
(19, 0, 30, 4)	0	2	2	
(25, 21, 17, 30)	2	8	6	
(10, 4, 30, 17)	3	0	-3	
(18, 7, 30, 28)	1	3	2	
(22, 22, 30, 0)	8	20	12	
(3, 1, 30, 25)	1	0	-1	
(30, 7, 21, 25)	0	1	1	
(15, 15, 30, 14)	0	1	1	
(17, 1, 12, 1)	1	0	-1	
(21, 25, 14)	0	1	1	
(21, 30, 18, 4)	2	1	-1	
(18, 18, 3, 17)	1	0	-1	
(18, 0, 30, 11)	4	8	4	
(17, 10, 30)	90	81	-9	
(4, 25, 30, 18)	1	2	1	
(22, 1, 22)	1	0	-1	
(11, 21, 30, 17)	9	10	1	
(21, 12, 30)	928	754	-174	
(7, 0, 2, 30)	0	1	1	
(3, 30, 13, 30)	111	92	-19	
(28, 17, 30, 2)	0	1	1	
(1, 4, 30, 25)	12	4	-8	
(21, 12, 30, 4)	44	36	-8	
(25, 4, 30, 3)	1	0	-1	
(12, 0, 30, 17)	16	9	-7	
(25, 21, 3, 30)	11	12	1	
(17, 3, 2)	1	1	0	
(2, 17, 30, 25)	1	0	-1	
(26, 30, 12, 17)	2	2	0	
(25, 15, 30, 0)	0	1	1	
(8, 12, 8, 30)	2	0	-2	
(15, 4, 30)	8	3	-5	
(25, 30, 9)	38	81	43	
(17, 30, 18)	785	978	193	
(12, 22, 12, 0)	1	0	-1	
(30, 1, 4, 7)	1	0	-1	
(3, 30, 19, 19)	3	2	-1	
(18, 3, 30, 17)	1	0	-1	
(7, 7, 19)	1	1	0	
(7, 4, 17, 1)	0	1	1	
(21, 4, 0)	1	0	-1	
(30, 24, 21, 21)	1	0	-1	
(21, 30, 24, 30)	235	189	-46	
(21, 28, 30, 12)	0	1	1	
(30, 6, 30, 11)	17	23	6	
(12, 21, 7, 19)	1	0	-1	
(1, 1, 4, 30)	3	0	-3	
(22, 0, 2, 30)	0	1	1	
(0, 19, 30, 0)	0	15	15	
(5, 23)	9	7	-2	
(0, 4, 24)	5	9	4	
(21, 30, 13, 13)	1	1	0	
(23, 23, 30, 3)	1	0	-1	
(8, 30, 10)	24	36	12	
(30, 21, 7, 11)	0	1	1	
(0, 30, 5, 21)	3	3	0	
(0, 4, 16, 2)	1	0	-1	
(6, 30, 17, 12)	2	3	1	
(30, 20)	395	327	-68	
(1, 2, 21)	19	4	-15	
(0, 30, 17, 10)	1	3	2	
(21, 18, 0, 22)	1	0	-1	
(21, 30, 2, 17)	13	12	-1	
(27, 11, 21)	0	2	2	
(1, 28, 30)	1	0	-1	
(3, 30, 17, 30)	3364	3262	-102	
(21, 30, 22, 30)	374	474	100	
(5, 13)	8	5	-3	
(3, 21, 26)	0	2	2	
(3, 12, 18, 1)	1	0	-1	
(19, 21, 25, 30)	1	1	0	
(10, 10, 1, 4)	1	0	-1	
(10, 18, 30, 27)	0	1	1	
